importance_rank,feature,source_group,data_type,definition,model_use,intuitive_risk_direction,intuitive_reason,observed_model_direction,direct_mean_abs_shap_log_odds,missing_indicator_mean_abs_shap_log_odds,total_mean_abs_shap_log_odds,direct_gain,missing_indicator_gain,total_gain,split_count,missing_rate,missing_effect_log_odds,value_shap_spearman,value_target_spearman,upper_minus_lower_shap,upper_minus_lower_event_rate_pp,category_effect_detail,shap_share,gain_share,importance_tier,strongest_related_feature,strongest_absolute_association,association_method,related_features_ge_0_50,substitutability_assessment
1,EXT_SOURCE_MEAN,External scores,numeric,Mean of the available external credit-score signals.,median imputation + missingness indicator when needed + LightGBM splits,higher -> less risk,"Stronger score, resources, tenure, down payment, or repayment completeness should reduce risk.",higher -> less risk,0.3918872516292937,0.0,0.3918872516292937,147271.45757961273,0.0,147271.45757961273,466,0.0004986233659245127,0.0,-0.9897093041968054,-0.20550188889212342,-1.1736447011251352,-14.601769911504425,{},0.12568414188036456,0.23778315155226679,Tier 1 - dominant,EXT_SOURCE_MIN,0.9001805048343823,Spearman rho,"[{""feature"": ""EXT_SOURCE_MIN"", ""absolute_association"": 0.900181, ""method"": ""Spearman rho""}, {""feature"": ""EXT_SOURCE_MAX"", ""absolute_association"": 0.792086, ""method"": ""Spearman rho""}, {""feature"": ""EXT_SOURCE_1"", ""absolute_association"": 0.744457, ""method"": ""Spearman rho""}, {""feature"": ""EXT_SOURCE_2"", ""absolute_association"": 0.72213, ""method"": ""Spearman rho""}, {""feature"": ""EXT_SOURCE_3"", ""absolute_association"": 0.696456, ""method"": ""Spearman rho""}]",high redundancy candidate; validate with grouped ablation before removing
2,EMPLOYMENT_YEARS,Application derived,numeric,Reported employment tenure converted from days to years.,median imputation + missingness indicator when needed + LightGBM splits,higher -> less risk,"Stronger score, resources, tenure, down payment, or repayment completeness should reduce risk.",higher -> less risk,0.09595612107058625,0.00038122788404556184,0.09633734895463181,12002.61821269989,20.437700271606445,12023.055912971497,454,0.18082684761636353,0.0014948094112756573,-0.9392995891121949,-0.07264764904839938,-0.3029409647010398,-5.271939524290394,{},0.030896838271855263,0.019412316366394424,Tier 1 - dominant,,,,[],low measured redundancy; not a demonstrated substitute
3,AMT_ANNUITY,Application financial,numeric,Loan annuity,median imputation + missingness indicator when needed + LightGBM splits,context-dependent,No defensible monotonic sign follows from the field alone.,higher -> more risk,0.09547105507064672,0.0,0.09547105507064672,10005.397147655487,0.0,10005.397147655487,483,2.167927677932664e-05,0.0,0.9340055405770097,-0.0012366370729676038,0.28230261530791534,0.08795122366959118,{},0.03061900478027777,0.01615462293510247,Tier 1 - dominant,AMT_CREDIT,0.8282564060243621,Spearman rho,"[{""feature"": ""AMT_CREDIT"", ""absolute_association"": 0.828256, ""method"": ""Spearman rho""}, {""feature"": ""AMT_GOODS_PRICE"", ""absolute_association"": 0.825974, ""method"": ""Spearman rho""}, {""feature"": ""ANNUITY_TO_INCOME"", ""absolute_association"": 0.557214, ""method"": ""Spearman rho""}, {""feature"": ""CREDIT_TO_INCOME"", ""absolute_association"": 0.526249, ""method"": ""Spearman rho""}]",partial substitute candidate; important interactions may still differ
4,EXT_SOURCE_MAX,External scores,numeric,Maximum of the available external credit-score signals.,median imputation + missingness indicator when needed + LightGBM splits,higher -> less risk,"Stronger score, resources, tenure, down payment, or repayment completeness should reduce risk.",higher -> less risk,0.09503145347786121,0.0,0.09503145347786121,27488.724848508835,0.0,27488.724848508835,359,0.0004986233659245127,0.0,-0.9287169388038675,-0.1746617681293833,-0.24683064901051457,-12.377646343450808,{},0.03047801793079803,0.04438304430509274,Tier 1 - dominant,EXT_SOURCE_MEAN,0.7920861354069185,Spearman rho,"[{""feature"": ""EXT_SOURCE_MEAN"", ""absolute_association"": 0.792086, ""method"": ""Spearman rho""}, {""feature"": ""EXT_SOURCE_1"", ""absolute_association"": 0.650073, ""method"": ""Spearman rho""}, {""feature"": ""EXT_SOURCE_2"", ""absolute_association"": 0.616349, ""method"": ""Spearman rho""}, {""feature"": ""EXT_SOURCE_3"", ""absolute_association"": 0.600933, ""method"": ""Spearman rho""}]",partial substitute candidate; important interactions may still differ
5,CREDIT_TO_ANNUITY,Application derived,numeric,Requested credit divided by proposed annual annuity; a term proxy.,median imputation + missingness indicator when needed + LightGBM splits,context-dependent,No defensible monotonic sign follows from the field alone.,higher -> less risk,0.09110649670390976,0.0,0.09110649670390976,18665.89742255211,0.0,18665.89742255211,725,2.167927677932664e-05,0.0,-0.376031302823497,-0.03726485979246989,-0.07248334246609349,-2.879504947407098,{},0.029219225198958275,0.030137787651666463,Tier 1 - dominant,AMT_CREDIT,0.6734385194858261,Spearman rho,"[{""feature"": ""AMT_CREDIT"", ""absolute_association"": 0.673439, ""method"": ""Spearman rho""}, {""feature"": ""AMT_GOODS_PRICE"", ""absolute_association"": 0.654209, ""method"": ""Spearman rho""}, {""feature"": ""CREDIT_TO_INCOME"", ""absolute_association"": 0.640636, ""method"": ""Spearman rho""}]","related signal, but too weak to treat as a substitute"
6,NAME_EDUCATION_TYPE,Application categorical,categorical,Level of highest education the client achieved,most-frequent imputation + ordinal encoding + LightGBM splits,category-dependent,Risk varies by category; no numeric ordering is assumed.,category-dependent,0.08406446109162508,0.0,0.08406446109162508,6602.092536449432,0.0,6602.092536449432,139,0.0,,,,,,"{""eligible_categories"": 4, ""highest_risk_category"": ""Secondary / secondary special"", ""highest_risk_event_rate"": 0.090577488965179, ""highest_risk_mean_shap"": 0.057652071442088906, ""lowest_risk_category"": ""Higher education"", ""lowest_risk_event_rate"": 0.05170139804800844, ""lowest_risk_mean_shap"": -0.16565718577247068}",0.026960738352700252,0.010659678365089846,Tier 1 - dominant,,,,[],low measured redundancy; not a demonstrated substitute
7,PREV_CREDIT_TO_APPLICATION_MEAN,Previous applications,numeric,Previous applications aggregate: credit to application mean.,median imputation + missingness indicator when needed + LightGBM splits,context-dependent,The aggregate can be beneficial or adverse depending on the underlying behavior and interactions.,higher -> more risk,0.06831597511697159,2.09728817037213e-05,0.0683369479986753,10197.103684902191,5.252920150756836,10202.356605052948,340,0.05729832852776032,0.00015754750580222794,0.8870502758033204,0.06396776097370965,0.19141087856320116,4.433814736454787,{},0.02191668810921478,0.01647263187775638,Tier 1 - dominant,PREV_DOWN_PAYMENT_RATE_MEAN,0.6436033730664609,Spearman rho,"[{""feature"": ""PREV_DOWN_PAYMENT_RATE_MEAN"", ""absolute_association"": 0.643603, ""method"": ""Spearman rho""}, {""feature"": ""PREV_DOWN_PAYMENT_MEAN"", ""absolute_association"": 0.5819, ""method"": ""Spearman rho""}]","related signal, but too weak to treat as a substitute"
8,INST_PAID_SUM,Installment repayments,numeric,Installment repayments aggregate: paid sum.,median imputation + missingness indicator when needed + LightGBM splits,context-dependent,A larger count can mean deeper history or greater credit exposure; composition and recency matter.,higher -> less risk,0.06689487865668178,0.0,0.06689487865668178,7708.310654163361,0.0,7708.310654163361,280,0.05268064257376374,0.0,-0.9295715073215738,-0.049453702378304355,-0.20203915927798338,-3.304347826086958,{},0.021454194759336978,0.012445768043682446,Tier 1 - dominant,INST_DUE_SUM,0.9951434294931292,Spearman rho,"[{""feature"": ""INST_DUE_SUM"", ""absolute_association"": 0.995143, ""method"": ""Spearman rho""}, {""feature"": ""PREV_CREDIT_SUM"", ""absolute_association"": 0.83382, ""method"": ""Spearman rho""}, {""feature"": ""PREV_CREDIT_MAX"", ""absolute_association"": 0.795752, ""method"": ""Spearman rho""}, {""feature"": ""INST_PAYMENT_COUNT"", ""absolute_association"": 0.781141, ""method"": ""Spearman rho""}, {""feature"": ""PREV_APPLICATION_AMOUNT_MAX"", ""absolute_association"": 0.773773, ""method"": ""Spearman rho""}]",high redundancy candidate; validate with grouped ablation before removing
9,PREV_HIGH_YIELD_COUNT,Previous applications,numeric,Previous applications aggregate: high yield count.,median imputation + missingness indicator when needed + LightGBM splits,higher -> more risk,"More arrears, burden, utilization, refusals, or missingness should raise risk.",higher -> more risk,0.05504356763045247,0.0,0.05504356763045247,3038.7099232673645,0.0,3038.7099232673645,168,0.054328267608992564,0.0,0.9246639868394423,0.031158762371318198,0.15012240179545627,1.8215363971821539,{},0.01765330087902788,0.0049062733138025665,Tier 1 - dominant,POS_CONTRACT_COUNT,0.5106870333265885,Spearman rho,"[{""feature"": ""POS_CONTRACT_COUNT"", ""absolute_association"": 0.510687, ""method"": ""Spearman rho""}, {""feature"": ""PREV_APPROVED_COUNT"", ""absolute_association"": 0.506278, ""method"": ""Spearman rho""}, {""feature"": ""INST_CONTRACT_COUNT"", ""absolute_association"": 0.504566, ""method"": ""Spearman rho""}]","related signal, but too weak to treat as a substitute"
10,CREDIT_TO_GOODS,Application derived,numeric,Requested credit divided by goods price.,median imputation + missingness indicator when needed + LightGBM splits,context-dependent,No defensible monotonic sign follows from the field alone.,higher -> more risk,0.054496180883966794,0.0,0.054496180883966794,8126.803742408752,0.0,8126.803742408752,287,0.000845491794393739,0.0,0.9185590524501844,0.06972116754914225,0.13343121512607412,4.3168700618808495,{},0.017477745707935415,0.01312146316520344,Tier 1 - dominant,DOWN_PAYMENT_RATE,1.0,Spearman rho,"[{""feature"": ""DOWN_PAYMENT_RATE"", ""absolute_association"": 1.0, ""method"": ""Spearman rho""}]",high redundancy candidate; validate with grouped ablation before removing
